Domain,IDF
www-roku.mgo.com.,3.3843902633457743
c-ls.mgo-images.com.,3.3843902633457743
c-catalog.mgo-images.com.,3.3843902633457743
2.android.pool.ntp.org.,2.995732273553991
appboot.netflix.com.,2.7245795030534206
occ-0-162-987.1.nflxso.net.,2.7245795030534206
cdn-0.nflximg.com.,3.3843902633457743
encrypted-tbn0.gstatic.com.,3.3843902633457743
www.wd2go.com.,3.3843902633457743
1.0.168.192.in-addr.arpa.,3.3843902633457743
1.238.207.130.in-addr.arpa.,3.3843902633457743
130.1.18.172.in-addr.arpa.,3.3843902633457743
1.192.215.143.in-addr.arpa.,3.3843902633457743
20.193.215.143.in-addr.arpa.,3.3843902633457743
87.70.252.162.in-addr.arpa.,3.3843902633457743
152.70.252.162.in-addr.arpa.,3.3843902633457743
133.70.252.162.in-addr.arpa.,3.3843902633457743
107.70.252.162.in-addr.arpa.,3.3843902633457743
59.70.252.162.in-addr.arpa.,3.3843902633457743
1.70.252.162.in-addr.arpa.,3.3843902633457743
www.wdc.com.,3.3843902633457743
gsa.apple.com.,3.3843902633457743
atum.hac.lp1.d4c.nintendo.net.,3.3843902633457743
safebrowsing.googleapis.com.,3.3843902633457743
scontent.xx.fbcdn.net.,3.3843902633457743
s3.us-west-2.amazonaws.com.,3.3843902633457743
guzzoni.apple.com.,2.995732273553991
142.195.58.216.in-addr.arpa.,3.3843902633457743
itunes-cdn.itunes-apple.com.akadns.net.,3.3843902633457743
vera-us-oem-authd12.mios.com.,3.3843902633457743
urlconfig.api.playstation.com.,3.3843902633457743
nsx.sec.np.dl.playstation.net.,3.3843902633457743
origin.belkin-us.tendplatform.com.,3.3843902633457743
ps4updptl.us.np.community.playstation.net.,3.3843902633457743
support.wdc.com.,3.3843902633457743
174.10.217.172.in-addr.arpa.,3.3843902633457743
sas.samsungcloudsolution.com.,3.3843902633457743
sso.internetat.tv.,3.3843902633457743
113.177.233.64.in-addr.arpa.,3.3843902633457743
guc3-accesspoint-a-vjhp.ap.spotify.com.,3.3843902633457743
guc3-accesspoint-a-3wk1.ap.spotify.com.,3.3843902633457743
guc3-accesspoint-a-gkkl.ap.spotify.com.,3.3843902633457743
DC-NA02-UsEAST1.coNNecT.SmaRtthiNgS.cOM.,3.3843902633457743
tunnel11.weave01.iad01.production.nest.com.,3.3843902633457743
dns.msftncsi.com.,3.3843902633457743
hub-api.wink.com.,2.995732273553991
almond.securifi.com.,3.3843902633457743
edge.skype.com.,2.995732273553991
frontdoor.nest.com.,2.7245795030534206
tunnel02.weave01.iad01.production.nest.com.,3.3843902633457743
xbroker15-z2.arloxcld.com.,3.3843902633457743
encrypted-tbn3.gstatic.com.,3.3843902633457743
A3BMBCWE3HYBWY.iot.us-west-2.amazonaws.com.,3.3843902633457743
cdnfw.withings.net.,3.3843902633457743
3.logitech.pool.ntp.org.,3.3843902633457743
api.distribution.hulu.com.,3.3843902633457743
mqtt.facebook.com.,3.3843902633457743
ocsp.digicert.com.,3.3843902633457743
wl.amazon-dss.com.,3.3843902633457743
lithium.facebook.com.,3.3843902633457743
ags-ext.amazon.com.,3.3843902633457743
apu.samsungelectronics.com.,3.3843902633457743
ypu.samsungelectronics.com.,3.3843902633457743
bpu.samsungelectronics.com.,3.3843902633457743
dpu.samsungelectronics.com.,3.3843902633457743
xpu.samsungelectronics.com.,3.3843902633457743
upu.samsungelectronics.com.,3.3843902633457743
zpu.samsungelectronics.com.,3.3843902633457743
clientflow.apple.com.,2.995732273553991
kpu.samsungelectronics.com.,3.3843902633457743
dp-rsm-prod.amazon.com.,3.3843902633457743
3.irobot.pool.ntp.org.,3.3843902633457743
legato.radiotime.com.,3.3843902633457743
origin.guzzoni-apple.com.akadns.net.,3.3843902633457743
139.177.233.64.in-addr.arpa.,3.3843902633457743
sylvan.apple.com.,3.3843902633457743
dauth-lp1.ndas.srv.nintendo.net.,3.3843902633457743
bcat-data-lp1.cdn.nintendo.net.,3.3843902633457743
accounts.nintendo.com.,3.3843902633457743
api.accounts.nintendo.com.,3.3843902633457743
title.mgt.xboxlive.com.,3.3843902633457743
activity.windows.com.,3.3843902633457743
storage.live.com.,3.3843902633457743
ctldl.windowsupdate.com.,3.3843902633457743
radio.itunes.apple.com.,3.3843902633457743
st14p02sa.guzzoni-apple.com.akadns.net.,3.3843902633457743
sta.mios.com.,3.3843902633457743
ntp.xs4all.nl.,3.3843902633457743
keyvalueservice.icloud.com.,2.995732273553991
ptbtime1.ptb.de.,3.3843902633457743
time-b.nist.gov.,3.3843902633457743
chromeos-ca.gstatic.com.,3.3843902633457743
iconfig.august.com.,3.3843902633457743
100.177.233.64.in-addr.arpa.,2.995732273553991
ftvr-na.amazon.com.,3.3843902633457743
